base,code chars,code lines,cyclomatic complexity,halstead effort,halstead volume,output chars,output lines,version
between,496,24,7,94192.063392900003,830.21850746899997,33,3,functions
between,365,19,7,45596.278444900003,660.81562963600004,33,3,inline
counting,77,3,2,738.40232257000002,82.044702507799997,116,8,nospace
counting,81,5,2,738.40232257000002,82.044702507799997,116,8,twospaces
funcall,50,4,2,937.65374294599997,109.39293667699999,3,1,nospace
funcall,54,4,2,937.65374294599997,109.39293667699999,3,1,space
funcall,72,7,2,1735.73128185,154.28722505299999,3,1,vars
initvar,103,9,3,3212.4951820400001,212.396375672,5,2,bothbad
initvar,103,9,3,3212.4951820400001,212.396375672,6,2,good
initvar,103,9,3,2866.8234384900002,208.49625007200001,6,2,onebad
order,137,14,4,8372.3060474899994,303.06990217200001,6,1,inorder
order,137,14,4,8372.3060474899994,303.06990217200001,6,1,shuffled
overload,78,11,1,2340.0,120.0,9,3,multmixed
overload,78,11,1,3428.2964976500002,117.206717868,7,3,plusmixed
overload,98,11,1,3428.2964976500002,117.206717868,21,3,strings
partition,105,5,4,2896.0012874200002,188.86964917899999,26,4,balanced
partition,102,5,4,2382.3428087500001,177.19905188999999,19,3,unbalanced
partition,120,6,4,2707.7668788400001,196.21499122,19,3,unbalanced_pivot
rectangle,293,18,2,18801.174997900001,396.33570483099999,7,2,basic
rectangle,421,21,5,43203.698684499999,620.14878494499999,7,2,class
rectangle,277,14,2,15627.7493806,403.81781345299999,7,2,tuples
scope,144,12,3,2779.7142857099998,188.0,2,1,diffname
scope,156,12,3,2413.3421336299998,183.62385799399999,2,1,samename
whitespace,275,14,1,6480.0,216.0,13,3,linedup
whitespace,259,14,1,6480.0,216.0,13,3,zigzag
